,latitude,longitude,last_updated_epoch,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,month
feels_like_fahrenheit,-0.3257514878610883,0.1561783209700695,-0.08618643844711618,0.9789690225657484,0.09137119176298181,-0.03208102754487313,-0.4834361952250067,0.04953687136058089,-0.2300448830535693,-0.0976923271626832,0.999995251404938,1.0,0.07277317779648984,0.41144211536533515,0.09799361312640159,-0.021067324431595362,0.19501065128022582,-0.1610307169382548,-0.062045169950141615,0.027087472738309255,0.08383263434418968,0.05645401938312505,0.05935547454269826,-0.004198846449214358,0.03806950314535749
visibility_km,-0.009002654013931043,0.12359604962212914,-0.017152912627320636,0.06129929495918548,0.10219825867624505,-0.06855299753439623,-0.010132826557054471,-0.04638786566699407,-0.07415355989436356,-0.043206917388886434,0.07275371173622643,0.07277317779648984,1.0,-0.0026920930890637364,0.11987545089470052,-0.08547559119650128,-0.02070382120890977,-0.07854869032401787,-0.07406778562918837,-0.11909403990433784,-0.05558000731881641,-0.13292390579676142,-0.129497394936679,-0.0005887169909915666,0.00044197086880016004
uv_index,-0.08835296250447952,0.1155716074564989,-0.212616060987575,0.48048403406053064,0.07480567340516749,0.04483207644722045,-0.09616039947722044,-0.0766168461728432,-0.566742683218348,-0.2447743304034671,0.411453324103914,0.41144211536533515,-0.0026920930890637364,1.0,-0.012365623662231394,-0.07084299808059394,0.3416424805352715,-0.1249019808563478,-0.03157118652177694,0.030759262425822696,0.11363771310239346,0.057464022640808056,0.04675945997696088,-0.0035066359613304867,-0.04898518356089476
gust_kph,-0.01005063911838947,0.03744602827402732,-0.11114906791167253,0.10610050589207802,0.9245627144055443,-0.0042805583018908555,-0.21290556074999337,0.053911783835838716,0.00634933081272181,0.06739384658038804,0.09795682187364092,0.09799361312640159,0.11987545089470052,-0.012365623662231394,1.0,-0.1492623190299177,0.08752037876786381,-0.18118221094825396,-0.12871410719723056,-0.0716951731390059,0.058573678313025145,-0.11777389782875312,-0.09585054363341802,-0.002058489271029875,-0.044338547726093545
air_quality_Carbon_Monoxide,-0.05929484700883718,0.09846347629628423,-0.0257521269987883,-0.03381692888809301,-0.14313416443669172,0.021454156465899245,0.006129561379292142,0.01088042083614882,-0.038520544303663695,-0.052257348434333405,-0.02106569957870512,-0.021067324431595362,-0.08547559119650128,-0.07084299808059394,-0.1492623190299177,1.0,-0.10276090790278009,0.6055721890994631,0.512442708506468,0.6178896870006523,0.16758240609844346,0.4754005669953737,0.44899690850277013,-0.0031300946139204817,-0.032517515302856424
air_quality_Ozone,0.11766125345266848,0.038662170492973456,-0.1127644747456255,0.26571315887425606,0.12206401096034822,0.06523830076601751,-0.17530412580247637,-0.07277421353624249,-0.43108903549616423,-0.23883738856472278,0.195011525449931,0.19501065128022582,-0.02070382120890977,0.3416424805352715,0.08752037876786381,-0.10276090790278009,1.0,-0.22592111978463142,-0.048545566694199634,0.0475192311812674,0.08719065870822915,0.1103611082131584,0.11292215757494838,0.008931754582547967,-0.11959112095277613
air_quality_Nitrogen_dioxide,0.20992963441588017,0.1385685369311783,0.0750553931999963,-0.16184972763016153,-0.1602708348834004,0.07281139535922015,0.07434993184037068,-0.028432675635821043,-0.08203888344339025,-0.1053137591535505,-0.16102082301755014,-0.1610307169382548,-0.07854869032401787,-0.1249019808563478,-0.18118221094825396,0.6055721890994631,-0.22592111978463142,1.0,0.6905359466595958,0.5236953404253857,0.1910282523164787,0.5619982095698881,0.5592346064767847,-0.0025251451825533534,-0.018813611635603866
air_quality_Sulphur_dioxide,0.07111908109482504,0.15246363350578152,0.020997157120663752,-0.05669546552905182,-0.1056089111283095,0.06906928851906895,0.04161667905489575,-0.03324242578143868,-0.15676061372862957,-0.12931422240916626,-0.06203681155946809,-0.062045169950141615,-0.07406778562918837,-0.03157118652177694,-0.12871410719723056,0.512442708506468,-0.048545566694199634,0.6905359466595958,1.0,0.5015905132082469,0.21983393962404696,0.5314918499647461,0.5325436158346084,0.0009541008259060492,-0.028141184116905426
air_quality_PM2.5,-0.01028226922616618,0.09651940455114863,0.03584265664603225,0.04427084790056254,-0.05294056960267292,0.016068503863884274,-0.005286131340605766,-0.049365647214909346,-0.19008916699471437,-0.1728870589763469,0.027099991840829202,0.027087472738309255,-0.11909403990433784,0.030759262425822696,-0.0716951731390059,0.6178896870006523,0.0475192311812674,0.5236953404253857,0.5015905132082469,1.0,0.6479029926778975,0.7993683080660954,0.7657750703579287,-0.001964413346542595,-0.06137813040284992
air_quality_PM10,0.011746345316234313,0.04212383302940618,0.01908914305880912,0.11465768953657043,0.07699021273853418,0.002463159655946716,-0.041433206532556,-0.04258686747952925,-0.23008079719824312,-0.15292001626689813,0.08383224080624302,0.08383263434418968,-0.05558000731881641,0.11363771310239346,0.058573678313025145,0.16758240609844346,0.08719065870822915,0.1910282523164787,0.21983393962404696,0.6479029926778975,1.0,0.5138310139624648,0.48320232066918134,-0.0011491841919766123,-0.04781940638494742
