country,avg_temperature,avg_humidity,avg_precip,avg_uv,avg_pm25
Cape Verde,0.6712164329441214,0.7133244602188696,0.00030321901075977114,0.1414599448741885,0.01595247628556946
Central African Republic,0.7282820341374163,0.6467832141931178,0.003381420832645872,0.364457261198267,0.016863761114073766
Chad,0.7550093880185409,0.4265564921620818,0.0012694883618796643,0.3753445363207962,0.02838760209246101
Chile,0.4696430019984804,0.7722203635552577,0.001556721587459291,0.057125616011264056,0.11276194706722346
China,0.604938634454347,0.4477758435497606,0.0018148820326678728,0.06713950096311212,0.08541512596668843
Colombia,0.518218623481781,0.795918367346938,0.000473484848484848,0.184049079754601,0.00832253155647201
Comoros,0.6897975708502021,0.728645640074211,0.006318440082644616,0.565343000557724,0.0057836896586608375
Congo,0.7038264375163789,0.6923219378495494,0.0037032358521696027,0.3699464442786674,0.0167852534761369
Costa Rica,0.6018423771460204,0.8520968827091271,0.003004374098124092,0.06258567608260841,0.00717727834514662
Cote d'Ivoire,0.6440212958431577,0.92890782686701,0.0012253371628371608,0.03148385356974309,0.004439890477840026
Croatia,0.5655183413078145,0.6431168831168826,0.0026299931129476544,0.20388176240936942,0.013719953955478105
Cuba,0.6518046238561026,0.9210859526292265,0.0009288252046007507,0.09471138775692975,0.006604784685887766
Cyprus,0.7003289320607112,0.4338494018296969,0.0005572684650497707,0.356407201630053,0.00911116700873422
Czech Republic,0.5183611965320329,0.6747146946210173,0.0018775528509135026,0.16996882228703578,0.010838866246114574
Democratic Republic of Congo,0.7028359746219967,0.6951414445559639,0.003579165976706955,0.3674388458658795,0.01681360577362774
Denmark,0.5111770771337105,0.7418978480684465,0.0023489488808227407,0.13480231146938607,0.007085098699084964
Djibouti,0.778461538461538,0.5181632653061219,0.0005944387052341588,0.5478973786949242,0.019368659893973187
Dominica,0.6995838341826258,0.7791531913311768,0.0032432418446762647,0.09043771721032094,0.006998558006973933
Dominican Republic,0.664831998581518,0.941773424698346,0.0036889481032957245,0.09056916394250138,0.00859944854088135
Ecuador,0.4758700999439953,0.8126702234824454,0.0013222086034014708,0.06684536961227425,0.006915315058660522
Egypt,0.710182198480985,0.39371828586243884,1.246012759170652e-05,0.40136728535957994,0.021802837815133036
El Salvador,0.6551882665242985,0.89681916722733,0.006618815212565201,0.07393424571338668,0.01308853501541914
Equatorial Guinea,0.7058371961117953,0.8435928719313809,0.009399789333552903,0.2736840935360536,0.00731991671649545
Eritrea,0.6309897514130919,0.42616829340431767,0.0031012399813350835,0.5214946207877652,0.01307549521598647
Estonia,0.49447575381284375,0.7101559317011736,0.0025023373480723703,0.13701802634362475,0.005331976982835741
Estonie,0.650472334682861,0.60204081632653,0.0,0.368098159509202,0.0108009507215917
Ethiopia,0.6104944178628385,0.5118552875695728,0.006901256887052328,0.5525599553820407,0.01654531800708959
